Variable,GCM,Scenario,YearRange,Station,Raw_Pbias,BiasCorrected_Pbias,Raw_RMSE,BiasCorrected_RMSE,Raw_R2,BiasCorrected_R2,Raw_KGE,BiasCorrected_KGE,Raw_NSE,BiasCorrected_NSE,Raw_NRMSE,BiasCorrected_NRMSE
tasmax,ACCESS-CM2,historical,1950-2014,OTM,35.2,35.2,9.45483495821632,9.45483495821632,0.630076010630092,0.630076010630092,0.452234997087883,0.452234997087883,0.397405780811991,0.397405780811991,0.154715481137262,0.154715481137262
tasmax,ACCESS-CM2,historical,1950-2014,OTG,51.8,51.8,11.3260493461953,11.3260493461953,0.577284033442095,0.577284033442095,0.280007186553604,0.280007186553604,0.310609367636803,0.310609367636803,0.188767489103256,0.188767489103256
tasmax,ACCESS-CM2,historical,1950-2014,DSM,32.1,32.1,9.34559060185847,9.34559060185847,0.633133061343405,0.633133061343405,0.487752227751978,0.487752227751978,0.442615976527805,0.442615976527805,0.15292784621501,0.15292784621501
tasmax,ACCESS-CM2,ssp126,2015-2100,OTM,33.4,33.4,9.39967923704224,9.39967923704224,0.619067530654426,0.619067530654426,0.483044598814123,0.483044598814123,0.383048517100765,0.383048517100765,0.15106627345786,0.15106627345786
tasmax,ACCESS-CM2,ssp126,2015-2100,OTG,54.5,54.5,11.5063483643605,11.5063483643605,0.560815152536595,0.560815152536595,0.277639849900535,0.277639849900535,0.252410136196169,0.252410136196169,0.181679184709991,0.181679184709991
tasmax,ACCESS-CM2,ssp126,2015-2100,DSM,33.1,33.1,9.51088338018569,9.51088338018569,0.621011931112867,0.621011931112867,0.499375857146159,0.499375857146159,0.401064281671193,0.401064281671193,0.158514723003095,0.158514723003095
tasmax,ACCESS-CM2,ssp245,2015-2100,OTM,32.9,32.9,9.40779319112804,9.40779319112804,0.615156779617841,0.615156779617841,0.47390289748657,0.47390289748657,0.381982932526513,0.381982932526513,0.151196676291386,0.151196676291386
tasmax,ACCESS-CM2,ssp245,2015-2100,OTG,53.1,53.1,11.4548230004759,11.4548230004759,0.554593962362297,0.554593962362297,0.281070980917796,0.281070980917796,0.259090551691676,0.259090551691676,0.180865626332822,0.180865626332822
tasmax,ACCESS-CM2,ssp245,2015-2100,DSM,32.4,32.4,9.53238000893365,9.53238000893365,0.610034919630483,0.610034919630483,0.493055664231571,0.493055664231571,0.398353776557677,0.398353776557677,0.158873000148894,0.158873000148894
tasmax,ACCESS-CM2,ssp370,2015-2100,OTM,31.8,31.8,9.27341101165434,9.27341101165434,0.615282773998225,0.615282773998225,0.489340400071692,0.489340400071692,0.399512511824008,0.399512511824008,0.149036962692625,0.149036962692625
tasmax,ACCESS-CM2,ssp370,2015-2100,OTG,52.3,52.3,11.2166304659516,11.2166304659516,0.579424728315145,0.579424728315145,0.297950376095072,0.297950376095072,0.289583251380257,0.289583251380257,0.177104691576978,0.177104691576978
tasmax,ACCESS-CM2,ssp370,2015-2100,DSM,31.6,31.6,9.34539639389994,9.34539639389994,0.623760896520593,0.623760896520593,0.507296337639079,0.507296337639079,0.421725615791189,0.421725615791189,0.155756606564999,0.155756606564999
