Date,DVP,MWM,OTG
2000-01-01,87.8801879882813,87.8801879882813,85.4210205078125
2000-01-02,88.3105697631836,88.3105697631836,86.5502014160156
2000-01-03,91.1478042602539,91.1478042602539,88.5191040039063
2000-01-04,91.5021896362305,91.5021896362305,90.4754333496094
2000-01-05,93.4875259399414,93.4875259399414,93.2955093383789
2000-01-06,88.4818496704102,88.4818496704102,87.579216003418
2000-01-07,90.0078125,90.0078125,89.2026062011719
2000-01-08,89.500373840332,89.500373840332,89.616455078125
2000-01-09,81.8834228515625,81.8834228515625,80.8976745605469
2000-01-10,80.3215179443359,80.3215179443359,79.1298370361328
2000-01-11,88.8806533813477,88.8806533813477,88.2351608276367
2000-01-12,88.0616302490235,88.0616302490235,88.2040786743164
2000-01-13,80.3654251098633,80.3654251098633,79.6974716186524
2000-01-14,84.8133316040039,84.8133316040039,84.5086517333984
2000-01-15,85.0359878540039,85.0359878540039,84.2542190551758
2000-01-16,90.2240676879883,90.2240676879883,90.1328506469727
2000-01-17,84.1999282836914,84.1999282836914,84.3010940551758
2000-01-18,85.9286727905274,85.9286727905274,85.2873153686524
2000-01-19,89.2126846313477,89.2126846313477,88.4327011108399
2000-01-20,87.353271484375,87.353271484375,86.6660003662109
2000-01-21,85.0376434326172,85.0376434326172,84.7086944580078
2000-01-22,80.5155944824219,80.5155944824219,79.6746978759766
2000-01-23,83.4944915771484,83.4944915771484,82.4015731811524
2000-01-24,89.382568359375,89.382568359375,88.2153015136719
2000-01-25,90.903450012207,90.903450012207,89.6968383789063
2000-01-26,87.74072265625,87.74072265625,87.5298233032227
2000-01-27,80.8330459594727,80.8330459594727,80.3612289428711
2000-01-28,80.8442001342774,80.8442001342774,79.9343414306641
2000-01-29,86.4400863647461,86.4400863647461,85.5036315917969
2000-01-30,84.2442626953125,84.2442626953125,83.0491409301758
2000-01-31,84.2087173461914,84.2087173461914,82.7330474853516
2000-02-01,84.285400390625,84.285400390625,82.9165267944336
2000-02-02,85.8922805786133,85.8922805786133,84.8979568481445
2000-02-03,90.0110473632813,90.0110473632813,89.3352279663086
2000-02-04,88.8408508300781,88.8408508300781,87.2417907714844
2000-02-05,84.9160003662109,84.9160003662109,83.3866577148438
2000-02-06,89.3677978515625,89.3677978515625,87.9708862304688
2000-02-07,85.6596069335938,85.6596069335938,83.7711944580078
2000-02-08,86.3794631958008,86.3794631958008,85.0532760620117
2000-02-09,90.0649032592773,90.0649032592773,89.4439544677734
2000-02-10,84.4027328491211,84.4027328491211,82.9023208618164
2000-02-11,87.4542617797852,87.4542617797852,86.3834457397461
2000-02-12,88.2388000488281,88.2388000488281,86.382698059082
2000-02-13,84.4754333496094,84.4754333496094,82.716682434082
2000-02-14,91.0388565063477,91.0388565063477,89.5193939208984
2000-02-15,85.6335983276367,85.6335983276367,84.6893615722656
2000-02-16,87.4038925170899,87.4038925170899,86.2592239379883
2000-02-17,85.7614517211914,85.7614517211914,83.9661102294922
2000-02-18,86.2238235473633,86.2238235473633,84.4316482543945
2000-02-19,86.2053146362305,86.2053146362305,85.9467849731445
2000-02-20,82.6180801391602,82.6180801391602,81.9555282592773
2000-02-21,85.0072250366211,85.0072250366211,84.1652908325195
2000-02-22,83.5861663818359,83.5861663818359,83.4378814697266
2000-02-23,80.1584320068359,80.1584320068359,79.7745132446289
2000-02-24,74.8641510009766,74.8641510009766,74.1094131469727
2000-02-25,75.2708511352539,75.2708511352539,73.6739959716797
2000-02-26,76.6112747192383,76.6112747192383,74.8350372314453
2000-02-27,78.7783050537109,78.7783050537109,76.5469131469727
2000-02-28,87.8974761962891,87.8974761962891,86.0508270263672
2000-02-29,84.5544509887695,84.5544509887695,84.0356903076172
2000-03-01,86.9435577392578,86.9435577392578,86.2954788208008
2000-03-02,82.2870712280274,82.2870712280274,81.3716278076172
2000-03-03,79.9263229370117,79.9263229370117,78.6025695800781
2000-03-04,79.6849975585938,79.6849975585938,79.0707092285156
2000-03-05,78.9277267456055,78.9277267456055,77.2891616821289
2000-03-06,83.8396072387695,83.8396072387695,83.4930725097656
2000-03-07,77.7707672119141,77.7707672119141,77.1681442260742
2000-03-08,82.5254211425781,82.5254211425781,80.4024658203125
2000-03-09,78.9933242797852,78.9933242797852,76.6959075927734
2000-03-10,77.8706207275391,77.8706207275391,75.1581954956055
2000-03-11,79.7583694458008,79.7583694458008,76.4382629394531
2000-03-12,79.1679000854492,79.1679000854492,75.6814575195313
2000-03-13,79.7680587768555,79.7680587768555,77.1045455932617
2000-03-14,81.6246032714844,81.6246032714844,80.2008438110352
2000-03-15,77.2450561523438,77.2450561523438,74.214599609375
2000-03-16,79.8549423217774,79.8549423217774,77.699462890625
2000-03-17,77.9281005859375,77.9281005859375,74.8919525146484
2000-03-18,69.8990631103516,69.8990631103516,69.0494232177734
2000-03-19,67.0772171020508,67.0772171020508,66.1707305908203
2000-03-20,72.2376327514649,72.2376327514649,70.300537109375
2000-03-21,80.640983581543,80.640983581543,79.5957946777344
2000-03-22,82.3841018676758,82.3841018676758,81.2951278686523
2000-03-23,78.5198745727539,78.5198745727539,77.5324325561524
2000-03-24,79.932014465332,79.932014465332,79.2520980834961
2000-03-25,84.0233917236328,84.0233917236328,82.6643447875977
2000-03-26,85.3855056762695,85.3855056762695,84.9182586669922
2000-03-27,79.5368576049805,79.5368576049805,78.9461517333984
2000-03-28,78.2862319946289,78.2862319946289,78.1403961181641
2000-03-29,56.6864776611328,56.6864776611328,55.2644767761231
2000-03-30,64.8656539916992,64.8656539916992,62.757999420166
2000-03-31,71.3843154907227,71.3843154907227,68.4611740112305
2000-04-01,84.5409393310547,84.5409393310547,81.6718444824219
2000-04-02,80.7387466430664,80.7387466430664,78.5793304443359
2000-04-03,75.4140167236328,75.4140167236328,72.3905487060547
2000-04-04,70.6842575073242,70.6842575073242,65.4133605957031
2000-04-05,76.3166732788086,76.3166732788086,73.5134735107422
2000-04-06,76.958381652832,76.958381652832,76.0034790039063
2000-04-07,72.6166381835938,72.6166381835938,70.5794067382813
2000-04-08,88.0448608398438,88.0448608398438,88.0333099365234
2000-04-09,80.2692489624024,80.2692489624024,79.4408645629883
2000-04-10,77.6605072021484,77.6605072021484,76.1803283691406
2000-04-11,83.2149276733398,83.2149276733398,81.6430282592773
2000-04-12,80.0989532470703,80.0989532470703,79.3502502441406
2000-04-13,83.180778503418,83.180778503418,81.5307540893555
2000-04-14,80.7956237792969,80.7956237792969,78.2340927124024
2000-04-15,67.0405731201172,67.0405731201172,65.3206024169922
2000-04-16,92.441162109375,92.441162109375,92.1268539428711
2000-04-17,81.0923919677734,81.0923919677734,79.7436676025391
2000-04-18,86.3400268554688,86.3400268554688,86.5742950439453
2000-04-19,73.1410369873047,73.1410369873047,73.2511291503906
