Date,OXV,I75,CAV,OTM,IKV,OOA,PEA,MWM,OTG,DSM,SLB,CNC,PRO,CIN,EBS,DVP,AXA,BNW,EST
01/09/2005,2.362076673,,2.456269763,3.291985414,2.224409546,,2.579445527,3.789466385,4.260433118,3.387985577,3.941624876,2.209918234,,3.35472842,3.630062521,,3.390956673,3.398202201,3.81950145
02/09/2005,1.78967158,,1.02888,2.653332847,0.818756622,,1.680986973,0.912949814,2.115725041,1.730584803,1.688232655,2.05776,,0.775282841,1.137564556,,1.325950992,1.02163437,1.968667017
03/09/2005,2.115725041,,3.318500166,2.455526551,1.804162789,,2.137461983,4.564749328,4.02132655,3.164128863,3.832940166,,,2.956218657,3.412693615,,3.948870454,2.789569111,3.760585054
04/09/2005,2.717112604,,4.014081177,3.383169904,2.195427231,,2.528726219,6.999282355,5.108172106,3.669958886,4.405345207,,,3.702518823,4.216958823,,5.093680332,3.514132438,5.772361989
05/09/2005,3.144605041,,3.543114959,3.697290723,3.37646531,,2.695375765,5.977648242,6.18777126,5.191754716,3.948870454,,,2.919990454,3.84743158,,5.086434959,3.043166219,5.085483759
06/09/2005,2.246146385,,3.238798234,2.844677262,1.847636673,,1.999794907,3.876413947,4.311151758,3.060810482,3.84743158,2.333093947,,2.695375765,3.86916842,,3.861922892,2.32584842,3.970384644
07/09/2005,1.036125682,,1.362179091,1.882929418,0.876721663,,1.159301446,3.35472842,3.275026385,1.818836059,2.985201177,0.050719437,,0.833247882,1.746197799,,1.746197799,1.746197799,2.953000526
08/09/2005,2.84028842,,3.267781012,2.897808625,2.238901012,,2.195427231,4.158993781,4.369117314,3.867986082,3.688027562,2.883762201,,2.766328255,3.448921766,,3.659045041,2.2223808,3.649937396
09/09/2005,2.767832272,,3.767729546,3.42373643,2.108479308,,2.528726219,5.311049751,5.057452438,3.902425577,4.789363864,3.738747231,,3.361973947,3.760484018,,4.550258325,2.941727396,4.940348403
10/09/2005,3.905396673,,5.999384876,4.484208345,2.993105548,,3.608325527,7.376055124,7.260125041,5.260633602,6.67322874,4.521275805,,5.839981012,5.40162,,6.883351758,4.173978904,6.78256113
11/09/2005,3.774975124,,4.919785207,4.400561944,,,3.238798234,6.361666899,5.847226899,4.507269147,5.637103109,4.108274473,,5.484944876,,,5.521172769,,5.523855574
12/09/2005,4.492292769,,5.65884,4.678065284,4.832837645,,3.717010237,4.571994959,4.195221675,5.923593974,5.369014793,5.253084195,,6.122560332,6.78191345,,5.528418657,5.876208905,4.740607813
13/09/2005,4.405345207,,2.775077799,4.522261472,4.296661012,,3.659045041,3.948870454,4.412591095,5.097045284,3.84743158,4.231450083,,4.340134793,3.31125469,3.355675812,3.340237108,3.919887728,3.539289583
14/09/2005,1.818654101,,1.072353781,3.299524017,1.644758874,,1.978058017,1.637513244,2.970709763,2.849868476,2.115725041,2.463515547,,1.101336302,1.608530672,2.810332887,2.079496891,2.217164018,2.439997511
15/09/2005,2.58669126,,1.869373615,3.991307793,1.680986973,,2.333093947,4.499538657,4.303906899,2.983321568,2.811306053,3.08664,,1.173792655,1.941829917,4.797198528,2.369322201,2.506989328,3.323742104
16/09/2005,1.449126756,,1.52882874,2.251617454,0.434738017,,1.137564556,4.499538657,4.695170672,1.635876193,3.572097479,1.82589968,,1.702723864,1.688232655,4.584514885,3.231552604,1.536074318,3.862611007
17/09/2005,3.07214874,,2.474873611,3.201877492,2.644656456,,2.253392272,4.557503698,4.622714113,4.530946248,3.883659834,3.673536456,,3.919887728,3.963361766,4.958983477,4.028572438,3.260535124,3.736156511
18/09/2005,2.398304876,,,3.19936435,2.296866053,,2.115725041,1.891110454,2.55770874,3.799107145,2.854779834,2.789569111,,3.238798234,2.79681469,2.197731253,2.713489763,2.760586385,3.043530442
19/09/2005,2.876516673,,,3.763345694,2.985201177,,3.137359308,3.948870454,3.948870454,3.482694289,3.521378017,3.130113781,,3.477904235,3.10113126,4.090070653,3.318500166,3.289517799,3.487558525
20/09/2005,1.77518032,,,2.075782891,2.130216456,,1.507091798,3.508941584,3.752385807,2.948882228,4.419836468,1.949075444,,3.383710889,3.796712272,4.063497769,4.122765887,2.709867231,4.027688887
21/09/2005,4.495758037,,,5.496574306,4.376362686,,4.11552,4.832837645,5.122663109,6.227091967,5.318295124,5.325541012,,7.209405887,5.75303345,5.215294462,5.789261343,4.977750249,5.359947273
22/09/2005,7.173177479,,,5.831157851,5.325541012,,4.969022774,5.825489751,6.397894793,6.233549218,6.071841177,5.115417479,,5.89070068,4.774873118,5.442520552,5.64434874,5.796507231,6.730829043
23/09/2005,3.572097479,,,4.417075983,3.688027562,,3.789466385,4.014081177,3.456167396,4.905475544,4.658942521,3.738747231,,4.405345207,4.354625539,4.437272382,3.579343109,4.448818988,4.164377396
24/09/2005,3.31125469,,,3.495894357,3.390956673,,2.724358234,3.651799308,3.919887728,4.399645726,4.282169751,3.162718988,,4.448818988,3.823540678,3.08664,4.637205887,4.463310249,4.374176831
25/09/2005,2.948972769,,,3.587079258,2.825797108,,2.492498017,3.289517799,3.398202201,4.139197101,3.108376891,2.724358234,,3.064903109,,3.441112824,3.390956673,3.477904235,3.468877511
26/09/2005,3.630062521,,2.934481766,4.742684607,3.427184876,,3.709764453,3.188078823,3.58658874,3.581707733,3.419938988,3.434430454,,3.115622521,3.492395547,3.461108747,3.50688655,3.456167396,3.710290622
27/09/2005,2.753341012,,4.057554959,3.027046756,2.499743544,,2.05776,4.811101012,4.86182068,3.564487883,5.593629328,2.934481766,,4.39809932,4.434328242,5.171664806,5.209610672,3.470658657,4.986332137
28/09/2005,4.564749328,,5.571892438,5.499087346,4.521275805,,4.361871426,7.687617479,7.535458988,5.559826248,6.586281177,4.593732106,,6.752930672,4.999486882,7.441189402,5.934174461,5.37626068,6.23075941
29/09/2005,2.833042892,,3.427184876,3.679699962,2.86202531,,2.644656456,5.963156468,5.876208905,3.342783792,5.369014793,2.847533947,,3.803957799,4.13001126,6.4649397,4.796609751,3.289517799,5.1099122
30/09/2005,4.612035367,,4.99741729,5.00116087,3.515041299,,3.536551013,5.877880321,6.132053293,4.894713974,5.869183198,4.518826556,,6.422434095,5.847049417,6.243235095,5.393195273,4.224860878,5.57836898
01/10/2005,3.840186053,,3.60108,4.398048905,2.265985763,,3.028674959,5.035715805,5.253084195,4.268345205,4.992242023,3.854677108,,4.956013101,4.108274473,5.991499025,4.919785207,3.289517799,4.681691058
02/10/2005,5.832735124,,5.832735124,6.111173717,,,4.564749328,6.847123864,6.209507894,6.758751303,7.151440332,6.202262521,,7.694863109,6.550052769,6.78588184,7.347073118,5.12990874,6.896082604
03/10/2005,6.071841177,,6.013876136,5.852697454,6.260227562,,4.854574793,4.637205887,4.919785207,6.887899407,7.289107562,6.499333101,,8.941111758,7.441265539,3.895773353,6.796404195,5.912437314,6.66903914
04/10/2005,5.67333126,,6.40514068,5.405389302,5.582761012,,4.524897977,2.30411158,3.021429328,6.496150261,6.868861012,5.854471758,,8.260022006,7.955705539,3.012738482,7.021018988,6.245736302,4.947533072
05/10/2005,5.535664544,,6.006630249,5.725971848,4.564749328,,4.869065539,9.238183367,8.854164195,6.203414866,8.455654278,5.035715805,,6.868861012,6.129806219,8.537522774,7.260125041,5.680576891,7.528355086
06/10/2005,4.86182068,,6.992036468,5.653814436,5.854471758,,5.224101675,9.035305722,8.90488335,6.218481785,7.680372106,4.448818988,,6.542806882,6.108069328,8.578241215,7.818038823,6.564544544,7.710852162
07/10/2005,2.55770874,,2.637410672,3.768371772,2.651901983,,2.506989328,2.753341012,2.391058988,3.616147433,2.615673781,3.267781012,,2.535971798,2.789569111,2.140288523,2.354830889,3.057657479,2.975992393
08/10/2005,0.970914959,,2.847533947,3.067613231,1.383916136,,1.463618017,4.477802023,4.659078847,2.100809368,3.427184876,1.77518032,,0.38583,2.535971798,4.820830101,3.369219834,2.289620166,4.059477575
09/10/2005,2.086742521,,3.383710889,2.911809315,1.753443327,,1.905601663,3.927133615,4.093783109,3.215788104,3.398202201,2.775077799,,,3.220684235,3.933739025,3.760484018,3.07214874,3.693046953
10/10/2005,1.02888,,1.963566756,3.177824696,1.702723864,,1.072353781,1.985303698,2.695375765,2.509778365,2.514234959,2.05776,,2.101233781,1.963566756,1.848711956,1.869373615,2.318602892,2.349467543
11/10/2005,1.695478337,,2.789569111,2.416396187,1.398407345,,1.76793469,2.07225126,1.724460909,3.133994202,2.101233781,1.963566756,,1.934584235,2.948972769,1.663295433,2.492498017,2.804060166,2.639738101
12/10/2005,2.050514318,,2.122970672,2.512606756,1.449126756,,1.456372438,2.58669126,2.528726219,2.677671003,2.173690237,1.992549328,,1.840390992,2.485252438,2.065031301,3.043166219,2.050514318,2.876840565
