Date,OXV,I75,CAV,OTM,IKV,OOA,PEA,MWM,OTG,DSM,SLB,CNC,PRO,CIN,EBS,DVP,AXA,BNW,EST
01/09/2005,12,,8,10.55555556,8,11,11,10,12.22222222,12.22222222,11,12,,7.777777778,10,,10,12,11.1
02/09/2005,15,,8,13.33333333,11,12,14,8,8.333333333,15,11,15.55555556,,9.444444444,10,,10,13,8.9
03/09/2005,14.44444444,,13,12.22222222,11,12,14,14,9.444444444,14.44444444,14,,,11,12,,11,13,11.7
04/09/2005,19.44444444,,17.77777778,16.11111111,17.77777778,16,17,18,14.44444444,20,18,,,18,18,,18,18,17.2
05/09/2005,18,,18,15.55555556,16,17,16,20,18.33333333,18.88888889,20,,,18,19,,18,18,18.3
06/09/2005,20.55555556,,17,18.88888889,18,17,18,18,17.22222222,20.55555556,18.88888889,20,,17,18,,17,19,18
07/09/2005,18,,15,15.55555556,13,15,17,14,14.44444444,17.22222222,16,21,,16,16,,16,18,15.6
08/09/2005,18,,15,16.11111111,16,16,17,16,13.88888889,18.33333333,17,18.88888889,,16,16,,15,17,15.6
09/09/2005,18,,17,17.77777778,16,18,17,18,15,18.33333333,18,19,,18,19,,17,20,17.2
10/09/2005,21,,21,19.44444444,17,18,18,21,17.77777778,20,20,21,,18,21,,20,20,19.4
11/09/2005,21,,20,20,,19,18,22,18.88888889,19.44444444,20,20,,19,,,20,,18.9
12/09/2005,21,,22,19.44444444,22,19,20,19,19.44444444,21.11111111,22,21,,22,23,,21,25,21.7
13/09/2005,18,,12,17.22222222,16,18,16,10,15,16.11111111,12,17.77777778,,13,15,,11.11111111,15,10.6
14/09/2005,12,,7,11.11111111,10,11,11,8,8.888888889,11.66666667,11,11,,7,10,,8,11,9.4
15/09/2005,11,,10,9.444444444,8.888888889,10,10,11,9.444444444,11.66666667,10.55555556,10.55555556,,7,9,,10,11,8.3
16/09/2005,8,,7,8.333333333,6,8,7,13,11.66666667,8.888888889,10,7,,7,7,,8.888888889,10,10.6
17/09/2005,10,,11,7.777777778,7,8,8,14,12.77777778,11.11111111,12,10,,9,10,,10.55555556,10,9.4
18/09/2005,15,,,12.22222222,15,13,14,11,9.444444444,17.77777778,13.88888889,16.66666667,,12,17,,13,17,11.7
19/09/2005,19,,,15.55555556,15,15,16.66666667,13,10,17.77777778,15,20,,12,15,,13.88888889,16.66666667,12.8
20/09/2005,13,,,10,9,11,12,12,12.77777778,13.33333333,12,13,,8,11,,10.55555556,12.77777778,10.6
21/09/2005,17.77777778,,,14.44444444,14.44444444,14.44444444,15,18,15,17.22222222,20,16.66666667,,20,18,,17,19,21.7
22/09/2005,17,,,16.11111111,13,17,22,7,8,15,13,17,,11,12,,9,13,8.3
23/09/2005,15,,,14.44444444,11,14,15,7,5,12.77777778,10,15,,8,10,,6,11,5
24/09/2005,16,,,14.44444444,15,15,15,14,4.444444444,15.55555556,17,18,,16,16,,13,16,13.3
25/09/2005,18,,,17.77777778,16.66666667,18,17,13,15.55555556,17.22222222,16,18.88888889,,16,,,15,17,14.4
