Date,OXV,I75,CAV,OTM,IKV,OOA,PEA,MWM,OTG,DSM,SLB,CNC,PRO,CIN,EBS,DVP,AXA,BNW,EST
01/09/2005,29.44444444,,30,28.88888889,30,28.88888889,28.88888889,27,23.33333333,30.55555556,30.55555556,29.44444444,,30.55555556,31.11111111,,27.77777778,30,27.2
02/09/2005,30,,28.88888889,30,30.55555556,29.44444444,29.44444444,26,26.66666667,31.11111111,31.11111111,21.66666667,,31.66666667,30.55555556,,26.66666667,30,26.7
03/09/2005,31.11111111,,31.11111111,31.11111111,32.22222222,31.66666667,32.77777778,29,26.66666667,32.22222222,33.88888889,,,33.88888889,32.22222222,,30,31.66666667,29.4
04/09/2005,32.77777778,,31.11111111,31.66666667,32.22222222,31.11111111,32.77777778,28,31.11111111,32.77777778,33.88888889,,,35,33.33333333,,30,32.22222222,28.9
05/09/2005,32.77777778,,32,31.66666667,32.77777778,32.22222222,33.88888889,28,31.11111111,33.33333333,30,,,31,32.22222222,,31,32,29.4
06/09/2005,31.66666667,,31.11111111,31.66666667,28.88888889,32.77777778,30.55555556,27,28.33333333,29.44444444,30.55555556,32.22222222,,28.33333333,31.11111111,,28.88888889,29.44444444,28.3
07/09/2005,30,,24.44444444,29.44444444,29.44444444,30,29.44444444,22,28.33333333,29.44444444,25,25.55555556,,25,27.77777778,,23.88888889,28.88888889,23.3
08/09/2005,28.88888889,,25.55555556,30,26.11111111,29.44444444,28.33333333,25,22.77777778,26.66666667,28.33333333,31.66666667,,27.22222222,26.11111111,,25.55555556,18.88888889,25
09/09/2005,33.33333333,,33,32.22222222,34.44444444,33.33333333,33.88888889,32,26.66666667,34.44444444,35,35,,35.55555556,35,,32.77777778,35,32.2
10/09/2005,32.77777778,,33.33333333,32.22222222,33.33333333,32.77777778,33.88888889,31,31.66666667,33.33333333,34.44444444,34.44444444,,34.44444444,34.44444444,,31.66666667,33.88888889,31.1
11/09/2005,32.77777778,,33.33333333,31.66666667,,32.77777778,32.77777778,31,31.11111111,33.33333333,34.44444444,33.88888889,,34,,,31.66666667,,30.6
12/09/2005,31.66666667,,31.11111111,31.11111111,31.66666667,32.22222222,32.22222222,27,31.66666667,31.66666667,32.77777778,32.77777778,,34.44444444,33.33333333,,31.11111111,32.77777778,27.2
13/09/2005,26.66666667,,28.33333333,26.66666667,26.66666667,29.44444444,25.55555556,20,26.66666667,27.22222222,25.55555556,27.77777778,,25.55555556,28,,23.88888889,28.33333333,20
