Date,OXV,I75,CAV,OTM,IKV,OOA,PEA,MWM,OTG,DSM,SLB,CNC,PRO,CIN,EBS,DVP,AXA,BNW,EST
01/09/2005,56.36669,,58.770485,65.57239,56.231514,,56.91365,65.83156,50.8507,53.33888,53.02975,62.085556,,59.006702,51.081116,,62.66267,55.202934,62.36546
02/09/2005,57.478348,,62.475163,67.37581,62.414177,,57.722424,74.1297,56.854443,55.835835,57.51814,78.41551,,61.856514,55.207645,,66.22409,55.595818,68.49915
03/09/2005,59.45252,,62.879677,67.42809,62.47882,,57.140305,79.002754,61.16544,61.403427,68.35734,,,66.72614,57.856037,,68.386795,63.12318,73.439156
04/09/2005,66.48487,,69.33199,76.59728,68.336945,,66.7554,85.44219,61.625416,68.19034,67.818985,,,68.43509,61.394268,,72.34296,66.97051,74.805786
05/09/2005,56.299534,,60.0214,69.10602,55.322163,,56.248577,79.58009,62.71149,57.01546,70.619835,,,67.580414,55.032112,,65.43408,60.77316,71.71511
06/09/2005,55.6115,,65.14975,67.0366,65.03754,,55.669365,90.82897,65.984474,60.322292,72.868286,65.78215,,72.201515,59.243332,,71.79067,65.2613,75.3205
07/09/2005,65.3273,,71.87713,78.09414,70.98976,,67.14007,95.007355,72.6764,70.54518,82.70417,73.99944,,77.94276,63.45313,,77.89612,69.729645,85.67009
08/09/2005,71.486435,,71.996346,90.59538,77.56713,,82.25215,94.60878,71.79233,82.52957,83.0412,82.987236,,76.160576,65.64272,,77.593254,75.493126,85.79608
09/09/2005,62.231064,,66.25831,78.98448,65.19885,,65.85827,83.689926,62.952297,65.17479,65.13818,68.40954,,63.898846,59.664894,,69.98021,62.223137,77.059395
10/09/2005,57.092613,,60.732635,68.80341,67.70475,,57.57822,66.030075,50.764877,56.618607,56.130016,62.430157,,58.742413,59.301807,,62.300316,62.946594,61.259315
11/09/2005,59.04137,,61.03069,70.051476,,,60.30846,65.9633,54.40826,59.496307,57.20515,64.89617,,60.72642,,,64.37126,,64.33098
12/09/2005,60.29329,,68.91565,70.82259,63.367058,,60.92197,91.82184,68.57093,62.69592,70.56882,67.12939,,67.54069,60.57417,,72.49718,59.929287,76.811455
13/09/2005,66.57089,,73.10612,84.63235,70.61768,,68.83068,92.56156,70.9589,73.76045,77.01488,79.05372,,75.61704,64.759415,81.17976,77.751564,69.87494,84.35717
14/09/2005,54.17007,,60.83406,68.862915,62.52455,,57.283867,77.33147,55.78384,57.55336,57.920315,64.71657,,60.95471,54.24146,63.708714,64.06546,59.48771,69.4108
15/09/2005,62.88997,,61.305817,84.52143,67.12392,,65.13829,67.43778,48.98633,68.36284,54.077965,74.68456,,65.50766,57.10064,57.19834,62.197266,63.58741,67.769936
